City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Pincher Creek,CA,49.4833,-113.952,48.27,47,1,12.66,clear sky
80,Udon Thani,TH,17.3333,102.8333,89.85,62,40,2.3,scattered clouds
81,Kibala,TD,9.1104,18.3463,75.15,94,20,0.0,few clouds
82,Bhadra,IN,29.1167,75.1667,90.27,50,32,3.56,scattered clouds
83,Tiksi,RU,71.6872,128.8694,31.28,75,46,6.31,scattered clouds
84,Acarau,BR,-2.8856,-40.12,78.75,83,15,15.08,few clouds
85,Alice Springs,AU,-23.7,133.8833,92.75,9,0,17.27,clear sky
86,Salalah,OM,17.0151,54.0924,80.69,89,75,4.61,broken clouds
87,Matara,LK,5.9485,80.5353,79.97,80,100,4.94,overcast clouds
88,Santa Cruz Del Sur,CU,20.7147,-77.9956,75.87,88,3,11.01,clear sky
89,Ribeira Grande,PT,38.5167,-28.7,71.56,90,24,10.42,few clouds
90,Hovd,MN,48.0056,91.6419,37.33,33,96,2.01,overcast clouds
91,Berlevag,NO,70.8578,29.0864,47.01,82,96,25.97,overcast clouds
92,Hami,CN,42.8,93.45,63.21,30,50,0.63,scattered clouds
93,Narsaq,GL,60.9167,-46.05,34.02,44,0,4.68,clear sky
94,Georgetown,MY,5.4112,100.3354,86.9,72,20,1.01,few clouds
95,Dori,BF,14.0354,-0.0345,84.87,54,10,9.42,clear sky
96,Sirjan,IR,29.452,55.6814,70.3,16,65,2.39,broken clouds
97,Victoria,HK,22.2855,114.1577,89.65,76,49,5.99,scattered clouds
98,Severo-Kurilsk,RU,50.6789,156.125,50.38,96,100,13.8,light rain
99,Jiuquan,CN,39.7432,98.5174,58.53,38,6,6.4,clear sky
100,Saint-Francois,FR,46.4154,3.9054,47.68,100,0,3.44,clear sky
101,Sorland,NO,67.667,12.6934,52.23,84,100,16.13,light rain
102,Casino,AU,-28.8667,153.05,80.55,29,69,10.36,broken clouds
103,Mar Del Plata,AR,-38.0023,-57.5575,53.87,62,8,5.01,fog
104,Faanui,PF,-16.4833,-151.75,79.11,74,8,16.84,clear sky
105,Ivanovka,KG,42.8878,75.085,36.03,96,100,1.97,overcast clouds
106,Cayenne,GF,4.9333,-52.3333,83.08,80,0,3.0,clear sky
107,Norsup,VU,-16.0667,167.3833,77.94,84,100,15.35,overcast clouds
108,Saint-Philippe,RE,-21.3585,55.7679,71.22,74,32,12.44,scattered clouds
109,Iqaluit,CA,63.7506,-68.5145,28.13,86,1,3.44,clear sky
110,Vondrozo,MG,-22.8167,47.2833,58.46,94,0,1.61,clear sky
111,Tasiilaq,GL,65.6145,-37.6368,35.76,50,7,5.97,clear sky
112,Longyearbyen,SJ,78.2186,15.6401,39.04,75,75,18.41,broken clouds
113,Burnie,AU,-41.0667,145.9167,57.47,93,100,2.55,moderate rain
114,Lasa,IT,46.6166,10.7002,56.28,91,100,1.61,overcast clouds
115,Kavieng,PG,-2.5744,150.7967,85.28,61,35,2.42,scattered clouds
116,Kaitangata,NZ,-46.2817,169.8464,60.93,50,98,8.52,overcast clouds
