City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
596,Abu Kamal,SY,76.96,clear sky,34.4506,40.9171,محطة التلفاز
602,Tautira,PF,80.62,light rain,-17.7333,-149.15,Pension Oaoa
604,Shenjiamen,CN,77.81,scattered clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
605,Isangel,VU,75.31,heavy intensity rain,-19.55,169.2667,Tanna Lodge
607,Ahuimanu,US,85.71,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
617,Pasni,PK,80.56,light rain,25.2631,63.471,Kashmiri Hotal
622,Eyl,SO,78.24,broken clouds,7.9803,49.8164,Amiin Hotel
629,Uthal,PK,84.94,broken clouds,25.8072,66.6219,Al-Mustafa Hotel
631,Utinga,BR,79.2,clear sky,-5.8172,-35.3954,Espaço de Lazer Érica Fernandes
632,Garowe,SO,75.61,overcast clouds,8.4054,48.4845,Curubo Hotel
639,Baillif,GP,78.3,overcast clouds,16.0202,-61.7463,Hôtel Saint-Georges
642,Mersing,MY,76.91,light rain,2.4312,103.8405,Timotel Hotel
648,Carutapera,BR,77.5,scattered clouds,-1.195,-46.02,Lidera
651,Ballina,AU,80.78,light rain,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
658,Pitiquito,MX,83.39,clear sky,30.7,-112.0833,La Víspera
659,Xinyang,CN,86.43,clear sky,32.1228,114.0656,Jinjiang Inn Style Xinyang Dongfanghong Avenue Culture Center
660,Pastos Bons,BR,77.27,broken clouds,-6.6017,-44.0767,Área de lazer casa (Pucina)
661,Bilma,NE,79.02,clear sky,18.6853,12.9164,Expeditions Ténére voyages
664,Kulhudhuffushi,MV,81.39,moderate rain,6.6221,73.07,Hondaafushi Island Resort
668,Kundgol,IN,77.2,scattered clouds,15.25,75.25,Anand Menasagi
669,Ryotsu,JP,75.16,clear sky,38.0833,138.4333,Sadokamoko Onsen Kohanno Yado Yoshidaya
673,Tabou,CI,76.68,light rain,4.423,-7.3528,hotêl doufoulougou
674,Kirakira,SB,83.59,overcast clouds,-10.4544,161.9205,SanBiz Lodge
683,Marawi,PH,76.64,broken clouds,7.9986,124.2928,Derogongan Residence
685,Emerald,AU,85.33,clear sky,-23.5333,148.1667,The Irish Village
687,Veraval,IN,81.25,broken clouds,20.9,70.3667,Lords Inn Somnath
